Titulo,Precio,Provincia,Lugar,Num. dormitorios,Num. banos,Area,Num. garages,Lugar_original,Tipo_Precio
Hermoso departamento de arriendo sector iñaquito,500,Pichincha,Quito,2.0,2.0,95.0,1.0,"Pichincha, Iñaquito, Quito, Ecuador",Medio
Hermosa suite de arriendo sector iñaquito,375,Pichincha,Quito,1.0,1.0,65.0,1.0,"Pichincha, Quito, Ecuador",Económico
Hermoso departamento de oportunidad de arriendo sector Republica del Salvador,650,Pichincha,Quito,2.0,2.0,120.0,1.0,"Pichincha, Av. República de El Salvador, Quito 170135, Ecuador",Medio
Hermoso departamento de arriendo de 240 metros Ponceano alto 3 dormitorios $560,560,Pichincha,Quito,3.0,3.0,240.0,2.0,"Pichincha, Albert Einstein, Quito, Ecuador",Medio
Hermoso departamento de arriendo de oportunidad en la urbanizacion El Condado,580,Pichincha,Quito,3.0,4.0,128.0,2.0,"Pichincha, Urbanización El Condado, Calle C, Quito, Ecuador",Medio
Hermosa suite de arriendo de oportunidad sector Quito Tenis,460,Pichincha,Quito,1.0,1.0,58.0,1.0,"Pichincha, Quito Tenis, Quito, Ecuador",Medio
Hermoso departamento en renta sector Quito Tenis,435,Pichincha,Quito,2.0,2.0,98.0,1.0,"Pichincha, Quito Tenis, Quito 170104, Ecuador",Medio
Hermoso departamento de arriendo en la Urb. El condado,750,Pichincha,Quito,3.0,3.0,190.0,1.0,"Pichincha, VGW2+Q5J, Quito 170134, Ecuador",Lujo
Hermosa suite amoblada de arriendo sector Quito Tenis,570,Pichincha,Quito,1.0,1.0,61.0,1.0,"Pichincha, Quito Tenis, Quito 170104, Ecuador",Medio
Hermoso departamento en renta/venta sector Quito Tenis,1800,Pichincha,Quito,4.0,3.0,380.0,3.0,"Pichincha, Quito Tenis, Quito 170104, Ecuador",Lujo
Hermosa suite de arriendo de oportunidad sector Quito Tenis,500,Pichincha,Quito,1.0,1.0,70.0,1.0,"Pichincha, Quito Tenis, Quito 170104, Ecuador",Medio
Hermoso departamento de arriendo sector Santa Lucía dos dormitorios de oportunidad,360,Pichincha,Quito,2.0,2.0,105.0,1.0,"Pichincha, Santa Lucia, Quito, Ecuador",Económico
Hermoso departamento de arriendo sector Catolica 3 dormitorios de oportunidad,560,Pichincha,Quito,3.0,3.0,120.0,1.0,"Pichincha, Católica, Quito, Ecuador",Medio
Hermoso departamento de arriendo duplex ponceano alto,450,Pichincha,Quito,3.0,3.0,130.0,1.0,"Pichincha, Ponceano Alto, Quito, Ecuador",Medio
Hermosa casa de arriendo de oportunidad sector Santa Lucía 3 dormitorios,550,Pichincha,Quito,3.0,3.0,140.0,2.0,"Pichincha, Santa Lucia, Quito, Ecuador",Medio
Hermoso departamento de arriendo de oportunidad 3 dormitorios Ponceano alto,400,Pichincha,Quito,3.0,2.0,105.0,1.0,"Pichincha, Ponceano Alto, Quito, Ecuador",Medio
Hermoso departamento de arriendo de oportunidad sector Monteserrin 2 dormitorios,400,Pichincha,Quito,2.0,2.0,90.0,1.0,"Pichincha, Monteserrin, Quito, Ecuador",Medio
Casa en renta con patio! Casa de arriendo Pomasqui 3 dormitorios 2 plantas,400,Pichincha,Quito,3.0,3.0,100.0,2.0,"Pichincha, Pomasqui, Quito, Ecuador",Medio
Hermosa casa de arriendo sector Ponceano colegio Einstein,600,Pichincha,Quito,4.0,3.0,130.0,2.0,"Pichincha, Ponceano Alto, Quito, Ecuador",Medio
Hermoso departamento de arriendo sector Carolina Alianza Francesa,550,Pichincha,Quito,3.0,2.0,110.0,1.0,"Pichincha, La Carolina, Quito, Ecuador",Medio
